Latin_Name,Common_Name,Family_Name,Plant_Type,Bloom_Time,Flower_Color,Size_at_Maturity,Climate_Appropriate_Plants,Plant_Communities,Suitable_Site_Conditions,Soil_Type,Pruning_Needs,Water_Needs,Habitat_Value,Associated_Wildlife,Stormwater_Benefit,Stormwater_int,Appropriate_Location,Additional_Characteristices_Notes
Vaccinium ovatum,Huckleberry,Ericaceae,Shrub (evergreen),"Spring,Winter",White,3.0,SF Native,"Coastal scrub,Woodland","Sun,Part shade,Shade",Clay,,Low,"Fruit,Nesting,Pollinator",Bees;Birds;Butterflies,Yes,1.0,Garden,
Verbena bonariensis,Purpletop Vervain,Verbenaceae,Annual,Spring,Purple,2.0,Exotic,Riparian,"Sun,Part shade",Loam,,Low,Pollinator,Bees;Butterflies;Hummingbirds,No,0.0,Garden,Attracts Mournful Duskywing (Erynnis tristis).
Verbena lasiostachys,Western Vervain,Verbenaceae,Perennial,"Spring,Summer",Purple,1.0,CA Native,"Riparian,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,Low,Pollinator,Bees;Birds;Butterflies;Insects,No,0.0,Garden,Attracts Mournful Duskywing (Erynnis tristis).
Vitis californica,California Wild Grape,Vitaceae,Vine,Spring,Red,8.0,CA Native,"Riparian,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,Low,"Cover,Fruit",Bees;Birds;Butterflies;Insects,Yes,1.0,Garden;Roof,Plant east of Twin Peaks – needs warmth. Attracts Cedar Waxwing and Western Fence Lizard.
Washingtonia robusta,Mexican Fan Palm,Arecaceae,Tree (evergreen),,,8.0,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk;Garden,"Prefers some warmth, full sun"
Cupaniopsis anacardioides,Carrot Wood,Sapindaceae,Tree (evergreen),Summer,,8.0,Exotic,,"Sun,Shade",,,Low,,,No,0.0,Sidewalk,"Uneven performer, needs heat, wind protection."
Danthonia californica,California Oatgrass,Poaceae,Grass,Winter,"Brown,Green",1.0,SF Native,"Coastal scrub,Grassland/prairie,Wetland,Woodland",Sun,"Clay,Loam,Sand",Minimal,Low,Fruit,Birds;Butterflies,No,0.0,Garden,"Deep roots, takes to hillsides well, and better erosion protection than most trees."
Deinandra corymbosa,Coast Tarweed,Asteraceae,Annual,"Spring,Summer,Fall",Yellow,1.0,SF Native,Grassland/prairie,Sun,Clay,,Low,"Buds/greens,Fruit,Pollinator",Bees;Birds;Insects,No,0.0,Garden,Best on east side of the city.
Whipplea modesta,Western Modesty,Hydrangeaceae,Vine,Spring,White,0.2,CA Native,,Part shade,"Loam,Sand",,Low,Pollinator,,,,Sidewalk;Garden,
Deschampsia cespitosa ssp. holciformis,Tufted Hairgrass,Poaceae,Grass,Summer,"Brown,Green",0.2,SF Native,"Coastal scrub,Grassland/prairie,Wetland,Woodland","Sun,Shade","Clay,Loam",,Low,Fruit,Birds;Butterflies,Yes,1.0,Garden,Not drought tolerant.
Distichlis spicata,Saltgrass,Poaceae,Grass,Summer,"Green,Yellow",1.0,SF Native,Wetland,"Sun,Part shade","Clay,Loam,Sand",,Low,"Buds/greens,Fruit",Birds;Butterflies,Yes,1.0,Garden,Attracts Westen Pygmy Blue butterfly (Brephidium exile).
Dudleya brittonii D. pulverulenta,Chalk Dudleya,Crassulaceae,Succulent,Spring,Green,0.2,CA Native,Chaparral,Sun,Clay,Minimal,Low,,No data,No,0.0,Garden;Roof,Good for containers / medians. Chalky foliage.
Dudleya caespitosa,"Sea Lettuce, Coast Dudleya",Crassulaceae,Succulent,Summer,Yellow,0.2,CA Native,Grassland/prairie,"Sun,Part shade",Clay,Minimal,Low,Pollinator,Birds;Butterflies;Hummingbirds,No,0.0,Garden;Roof,
Dudleya farinosa,Live Forever,Crassulaceae,Succulent,Spring,Yellow,0.2,SF Native,"Coastal scrub,Dunes,Grassland/prairie","Sun,Part shade","Sand,Rock",Minimal,,Pollinator,Hummingbirds,No,0.0,Garden;Roof,Produces green or glaucus form. Plant next to concrete to wick moisture. Chalky white and red foliage.
Elaeocarpus decipiens,Japanese Blueberry Tree,Elaeocarpaceae,Tree (evergreen),Summer,White,6.0,Exotic,,Sun,,,Low,,Bees;Birds;Butterflies,No,0.0,Sidewalk,"Slow growing, keep out of strong/ prevailing wind, flowers and may not produce fruit at maturity here ."
Eleocharis macrostachya,Common Or Creeping Spikerush,Cyperaceae,Grass,Spring,Brown,1.0,SF Native,"Riparian,Wetland",Sun,"Clay,Loam,Sand,Rock",Minimal,Moderate,"Buds/greens,Cover,Nesting",Birds,Yes,1.0,Garden,Brown Seedhead.
Eleocharis parvula,Dwarf Spikerush,Cyperaceae,Grass,Summer,"Brown,Green",0.2,CA Native,Wetland,"Sun,Part shade","Clay,Loam,Sand,Rock",Minimal,Moderate,,No data,No,0.0,Garden,CNPS Rare Plant
Elymus glaucus,Blue Wild-rye,Poaceae,Grass,Summer,"Blue,Yellow",1.0,SF Native,"Coastal scrub,Grassland/prairie,Woodland",Part shade,"Clay,Loam,Sand",,,Fruit,Birds;Butterflies,Yes,1.0,Garden;Roof,Versatile flower that is a weedfighter and survivor.
Elymus mollis ssp. mollis,American Dune Grass,Poaceae,Grass,Summer,Yellow,1.0,SF Native,Dunes,Sun,Sand,,,Pollinator,Butterflies,No,0.0,Sidewalk;Garden,"Needs dunes and shifting sand, most likely by ocean beach."
Elymus pacificus,Pacific Wild Rye,Poaceae,Grass,Summer,Yellow,1.0,SF Native,"Coastal scrub,Dunes","Sun,Part shade","Clay,Loam,Sand",,Low,Fruit,Birds,No,0.0,Garden;Roof,
Elymus triticoides,Beardless Wild Rye,Poaceae,Grass,Summer,Yellow,2.0,SF Native,"Coastal scrub,Riparian,Woodland","Sun,Part shade","Clay,Loam,Sand",,Low,Fruit,Birds,Yes,1.0,Garden;Roof,Versatile flower that is a runner and good for binding.
Encelia californica,Bush Sunflower,Asteraceae,Shrub (evergreen),"Spring,Summer,Winter",Yellow,2.0,CA Native,Chaparral,Sun,Clay,Cut to ground,Low,Pollinator,Bees;Birds;Butterflies,No,0.0,Sidewalk;Garden,Sunflower-like flowers. Attracts Red-Winged Blackbird.
Epilobium brachycarpum,Annual Fireweed,Onagraceae,Annual,Summer,Pink,2.0,SF Native,"Chaparral,Grassland/prairie,Woodland","Sun,Shade","Clay,Loam,Sand",,,"Buds/greens,Fruit,Pollinator",Birds;Hummingbirds;Insects,No,0.0,Garden,Self-seeds. Attracts Lesser Goldfinches and Sphinx Moth.
Festuca californica,California Fescue,Poaceae,Grass,"Spring,Winter",Yellow,1.0,SF Native,"Coastal scrub,Woodland",Part shade,"Clay,Loam",,Low,Cover,Butterflies,Yes,1.0,Garden;Sidewalk;Roof,Attracts Black-tailed jackrabbit.
Epilobium canum,California Fuchsia,Onagraceae,Perennial,"Summer,Fall","Orange,Pink",1.0,CA Native,"Chaparral,Coastal scrub","Sun,Part shade","Loam,Sand,Rock",Cut to ground,,Pollinator,Bees;Birds;Butterflies;Hummingbirds,Yes,1.0,Garden;Roof,Attracts Anna's Hummingbird and White Line Sphinx moth.
Epilobium ciliatum ssp. watsonii,Willow Herb,Onagraceae,Perennial,"Spring,Summer",Pink,1.0,SF Native,"Coastal scrub,Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,Low,"Fruit,Pollinator",Birds;Hummingbirds,No,0.0,Garden,Self-seeds. Attracts Lesser Goldfinches.
Ericameria ericoides,Mock Heather,Asteraceae,Shrub (evergreen),Fall,Yellow,1.0,SF Native,Dunes,Sun,Sand,,,Cover,No data,No,0.0,Sidewalk;Garden,"Needs dunes and shifting sand, most likely by ocean beach."
Erigeron glaucus,Seaside Daisy,Asteraceae,Perennial,"Spring,Winter",Pink,1.0,SF Native,"Coastal scrub,Dunes","Sun,Part shade","Clay,Loam,Sand",,,Pollinator,Bees;Butterflies,Yes,1.0,Garden;Sidewalk;Roof,Adaptable to many locations. Attracts Green Hairstreak (Callophrys viridis) butterfly.
Eriobotrya deflexa,Bronze Loquat,Asteraceae,Tree (evergreen),Spring,White,6.0,Exotic,,"Sun,Part shade",,,Low,,Birds;Butterflies,No,0.0,Sidewalk,"Needs wind protection, does not perform well in sandy soils."
Eriogonum latifolium,Coast Buckwheat,Polygonaceae,Perennial,"Summer,Fall",Pink,1.0,SF Native,"Coastal scrub,Dunes,Grassland/prairie","Sun,Part shade","Clay,Sand,Rock",,,"Buds/greens,Pollinator",Bees;Birds;Butterflies;Insects,Yes,1.0,Garden;Sidewalk;Roof,Recommended. Attracts Green Hairstreak (Callophrys viridis) and Acmon Blue (Plebejus acmon) butterflies.
Eriophyllum staechadifolium,Lizardtail,Asteraceae,Perennial,"Spring,Summer",Yellow,1.0,SF Native,"Coastal scrub,Dunes","Sun,Part shade","Clay,Loam,Sand",,,Pollinator,Bees;Butterflies;Insects,No,0.0,Garden;Sidewalk;Roof,"Recommended. Likes the fog belt, but could do the east side."
Erysimum franciscanum,San Francisco Wallflower,Brassicaceae,Perennial,Spring,Yellow,1.0,SF Native,"Coastal scrub,Dunes",Sun,"Clay,Loam,Sand,Rock",,,Pollinator,Bees;Butterflies,No,0.0,Garden,CNPS Rare Plant
Escallonia bifida,White Escallonia,Escalloniaceae,Perennial,Summer,White,3.0,Exotic,,Sun,Loam,,Low,Pollinator,Butterflies,No,0.0,Garden,
Eschscholzia californica,California Poppy,Papaveraceae,Perennial,"Spring,Summer","Orange,Yellow",1.0,SF Native,"Chaparral,Coastal scrub,Dunes,Grassland/prairie,Woodland",Sun,"Clay,Loam,Sand,Rock",,,"Cover,Pollinator",Bees;Birds;Butterflies,Yes,1.0,Garden;Sidewalk;Roof,"Coastal form is smaller and more yellow, large orange form is native inland."
Adenanthos spp.,Woolly Bush,Proteaceae,Shrub (evergreen),,,,Exotic,,"Sun,Part shade",,,Low,,,,,Garden,
Eucalyptus polyanthemos,Silver Dollar Gum,Myrtaceae,Tree (evergreen),"Summer,Fall",White,8.0,Exotic,,Sun,,,Low,,Birds;Butterflies,No,0.0,Sidewalk,"Needs a large basin, fast grower, high maintenance."
Festuca idahoensis,Idaho Fescue,Poaceae,Grass,Summer,Yellow,0.2,SF Native,"Chaparral,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,,"Buds/greens,Pollinator",Birds;Butterflies,Yes,1.0,Garden;Sidewalk;Roof,
Festuca rubra,Red Fescue,Poaceae,Grass,Spring,Yellow,0.2,SF Native,"Chaparral,Dunes,Grassland/prairie,Wetland,Woodland","Sun,Part shade","Clay,Loam,Sand",,,"Cover,Fruit",Bees;Birds;Butterflies,Yes,1.0,Garden;Sidewalk;Roof,
Festuca rubra 'Point Molate',Molate Fescue,Poaceae,Grass,Spring,Indigo,1.0,CA Native,Grassland/prairie,"Sun,Part shade","Clay,Loam,Sand",,,"Cover,Fruit",Bees;Birds;Butterflies,No,0.0,Garden;Roof,
Fragaria chiloensis,Coast Strawberry,Rosaceae,Perennial,Winter,White,0.2,SF Native,",Coastal scrub,Dunes","Sun,Part shade","Clay,Loam,Sand,Rock",,,"Cover,Fruit",Bees;Birds;Butterflies,Yes,1.0,Garden;Sidewalk;Roof,Endures wind well. Attracts Green Hairstreak (Callophrys viridis) butterfly.
Fragaria vesca,Woodland Strawberry,Rosaceae,Perennial,"Spring,Winter",White,0.2,SF Native,"Coastal scrub,Woodland","Part shade,Shade","Clay,Loam",,Low,"Cover,Fruit",Bees;Birds;Butterflies,Yes,1.0,Garden;Sidewalk;Roof,
Frangula californica,Coffeeberry,Rhamnaceae,Shrub (evergreen),Summer,Burgundy,3.0,SF Native,"Coastal scrub,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",,,"Buds/greens,Cover,Fruit,Pollinator",Bees;Birds;Butterflies;Insects,Yes,1.0,Garden,Attracts Pale Tiger Swallowtail (Papilio eurymedon) and White-Crowned Sparrow.
Frankenia salina,Alkali-heath,Frankeniaceae,Perennial,"Spring,Summer",Pink,1.0,SF Native,Wetland,"Sun,Part shade","Clay,Loam,Sand",,Moderate,Fruit,Birds;Butterflies,Yes,1.0,Garden,
Fraxinus latifolia,Oregon Ash,Oleaceae,Tree (deciduous),Spring,Green,8.0,CA Native,"Riparian,Woodland","Sun,Part shade","Clay,Loam,Sand",,Low,"Fruit,Nesting",Birds;Butterflies,Yes,1.0,Garden,Attracts Pale Swallowtail (Papilio eurymedon) and Western Tiger Swallowtail (Papilio rutulus).
Fremontodendron 'California Glory',Flannel Bush,Malvaceae,Shrub (evergreen),Spring,Yellow,2.0,CA Native,"Chaparral,Woodland","Sun,Part shade","Clay,Loam,Sand",,,"Buds/greens,Cover,Pollinator",Bees;Butterflies;Insects,No,0.0,Garden,
Gaillardia x grandiflora,Gaillardia (blanket Flower),Asteraceae,Perennial,Summer,"Orange,Red,Yellow",1.0,Exotic,,Sun,"Clay,Loam,Sand",,Low,Pollinator,Bees;Birds,No,0.0,Garden,
Galvezia speciosa,Island Bush Snapdragon,Plantaginaceae,Perennial,Spring,Red,2.0,CA Native,Chaparral,"Sun,Part shade","Clay,Sand",,,Pollinator,Butterflies;Hummingbirds,No,0.0,Sidewalk;Garden,Intermittent bloom throughout the year.
Garrya elliptica,Coast Silktassel,Garryaceae,Shrub (evergreen),Winter,White,6.0,SF Native,"Coastal scrub,Woodland","Sun,Shade","Clay,Loam",,Low,"Cover,Fruit",Bees;Birds,Yes,1.0,Sidewalk,"Beautiful plant that gets large, is wind pollinated, and could be trained into a single stem tree."
Geijera parviflora,Australian Willow,Rutaceae,Tree (evergreen),Spring,White,8.0,Exotic,,Sun,"Loam,Sand",,Moderate,,,Yes,1.0,Sidewalk,"Prefers heat, wind protection."
Gilia capitata ssp. Chamissonis,Dune Gilia,Polemoniaceae,Annual,"Spring,Summer",Blue,1.0,SF Native,"Coastal scrub,Dunes,Grassland/prairie",Sun,"Clay,Loam,Sand",,,Pollinator,Bees;Butterflies,No,0.0,Garden,
Gilia tricolor ssp. Tricolor,Bird's Eye Gilia,Polemoniaceae,Annual,Summer,Purple,0.2,CA Native,"Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,Low,Pollinator,Bees;Birds;Butterflies;Hummingbirds,No,0.0,Garden,
Ginkgo biloba 'Autumn Gold',Maidenhair Tree,Ginkgoaceae,Tree (deciduous),Spring,,8.0,Exotic,,Sun,"Clay,Loam,Sand",,Low,,,Yes,1.0,Sidewalk,"Slow grower. 'Princeton Sentry', 'Saratoga' another variety."
Glaux maritima,Sea Milkwort,Myrsinaceae,Perennial,Spring,White,1.0,SF Native,Wetland,Sun,"Clay,Loam,Sand",,Moderate,,No data,No,0.0,Garden,
Artemisia tridentata,Big Sagebrush,Asteraceae,Shrub (evergreen),Summer,White,2.0,CA Native,,Sun,"Loam,Sand",,,,,,,Garden,
Banksia spp.,Banksia,Proteaceae,Shrub (evergreen),,,6.0,Exotic,,Sun,,,Low,"Cover,Nesting,Pollinator",Birds,,,Garden,
Calliandra eriophylla,Fairy Dustre,Fabaceae,Shrub (evergreen),"Spring,Winter",Pink,2.0,CA Native,,Sun,"Loam,Sand",,,Pollinator,Birds;Hummingbirds,,,Garden,
Ceanothus spp.,California Lilac,Rhamnaceae,Shrub (evergreen),,,,CA Native,,Sun,,,Low,Pollinator,Birds;Bees,,,Garden,
Grindelia hirsutula,San Francisco Gumplant,Asteraceae,Perennial,Summer,Yellow,1.0,SF Native,"Coastal scrub,Woodland","Sun,Part shade","Clay,Rock",,,Pollinator,Bees;Birds;Butterflies,Yes,1.0,Garden;Sidewalk;Roof,"CNPS Rare Plant. Tough plant, easy to grow, self seeding. Attracts Common Buckeye (Junonia coenia) butterfly."
Grindelia stricta,Coastal Gumplant,Asteraceae,Perennial,"Spring,Summer,Fall",Yellow,0.2,SF Native,"Dunes,Wetland","Sun,Part shade","Clay,Loam,Sand",,Low,"Nesting,Pollinator",Bees;Birds;Butterflies,No,0.0,Garden;Roof,
Helianthus gracilentus,Slender Sunflower,Asteraceae,Perennial,"Spring,Summer",Yellow,2.0,CA Native,Chaparral,Sun,"Clay,Loam",,Low,Pollinator,Bees;Birds;Butterflies,No,0.0,Garden,Attracts Red-Winged Blackbird and Monarch Butterfly (Danaus plexippus).
Heliotropium curassavicum,Wild Heliotrope,Boraginaceae,Perennial,Spring,White,0.2,SF Native,Wetland,"Sun,Part shade","Loam,Sand",,Low,Pollinator,Bees,No,0.0,Garden,
Heracleum maximum,Cow Parsnip,Apiaceae,Perennial,Summer,White,3.0,SF Native,"Coastal scrub,Riparian,Wetland,Woodland",Part shade,"Loam,Sand",Cut to ground,Low,,Bees;Birds,No,0.0,Garden,
Heteromeles arbutifolia,Toyon,Rosaceae,Shrub (evergreen),Summer,White,3.0,SF Native,"Chaparral,Coastal scrub,Woodland","Sun,Part shade","Clay,Loam,Sand,Rock",Minimal,,"Buds/greens,Cover,Fruit,Pollinator",Bees;Birds;Butterflies;Hummingbirds;Insects,Yes,1.0,Garden,"White flowers in summer, red berries in winter. Attracts Cedar Waxwing, Robins, and Purple Finches."
Origanum dictamnus,"Dittany Of Crete, Hop Marjoram",Lamiaceae,Perennial,Summer,Pink,0.2,Exotic,,Sun,"Loam,Sand",,,Pollinator,Butterflies;bees,,,Sidewalk;Garden,
Heterotheca sessiliflora ssp. Bolanderi,Bolander's Goldenaster,Asteraceae,Perennial,"Spring,Summer,Fall,Winter",Yellow,1.0,CA Native,Grassland/prairie,Sun,"Clay,Rock",,,"Fruit,Pollinator",Bees;Birds;Butterflies,No,0.0,Garden,
Heuchera micrantha,Alum Root,Saxifragaceae,Perennial,"Spring,Summer",White,1.0,SF Native,"Coastal scrub,Woodland","Part shade,Shade","Clay,Loam",,Moderate,Pollinator,Bees;Butterflies;Hummingbirds,Yes,1.0,Garden;Sidewalk;Roof,Prefers north facing cliff faces and cracks in the rock.
Holodiscus discolor,Cream Bush,Rosaceae,Shrub (deciduous),"Spring,Summer",White,3.0,SF Native,"Coastal scrub,Woodland","Sun,Part shade,Shade","Clay,Loam",,Low,"Buds/greens,Cover,Pollinator",Bees;Birds;Butterflies,Yes,1.0,Garden,"Attracts Spring Azure, Pale Swallowtail, and Lorquin’s Admiral butterflies."
Hordeum brachyantherum,Meadow Barley,Poaceae,Grass,Summer,Yellow,1.0,SF Native,"Coastal scrub,Grassland/prairie,Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam",,Low,"Buds/greens,Cover,Fruit",Birds;Insects,Yes,1.0,Garden,
Horkelia californica,California Horkelia,Rosaceae,Perennial,Spring,White,1.0,SF Native,"Coastal scrub,Grassland/prairie","Sun,Part shade,Shade","Clay,Rock",,,Pollinator,Butterflies,No,0.0,Sidewalk;Garden,
Hosackia gracilis,Harlequin Lotus,Fabaceae,Perennial,"Spring,Summer",Yellow,1.0,SF Native,"Coastal scrub,Riparian,Wetland,Woodland","Sun,Part shade",Clay,,Moderate,Pollinator,Bees;Butterflies,Yes,1.0,Garden,
Hymenosporum flavum,Sweetshade,Pittosporaceae,Tree (evergreen),Summer,Yellow,8.0,Exotic,,"Sun,Part shade",,,Low,,,No,0.0,Sidewalk,"Uneven performer, prefers heat, wind protection, good drainage."
Iris douglasiana,Douglas Iris,Iridaceae,Perennial,"Spring,Winter",Purple,1.0,SF Native,"Coastal scrub,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,Low,"Buds/greens,Pollinator",Bees;Birds;Hummingbirds;Insects,Yes,1.0,Garden;Sidewalk;Roof,"Likes wind and fog, include longipella (likes warmer, calmer, drier)."
Isolepis cernua,Low Bulrush,Cyperaceae,Annual,"Spring,Summer",White,1.0,SF Native,Wetland,"Sun,Part shade","Clay,Loam",,Moderate,,No data,No,0.0,Garden,
Iva axillaris,Poverty-weed,Asteraceae,Perennial,"Spring,Summer",Yellow,0.2,SF Native,Wetland,"Sun,Part shade","Clay,Loam",,Moderate,,No data,No,0.0,Garden,Desert plant.
Jacaranda mimosifolia,Jacaranda,Bignoniaceae,Tree (evergreen),"Spring,Summer","Blue,lavender",8.0,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk,"Uneven performer, prefers heat, wind protection, good drainage."
Juncus balticus,Salt Rush,Juncaceae,Perennial,Spring,Yellow,1.0,SF Native,Woodland,"Sun,Part shade","Clay,Loam,Sand",,Moderate,Cover,Birds;Butterflies,No,0.0,Garden;Roof,"Creeping rush, runner not buncher."
Juncus bufonius,Toad Rush,Juncaceae,Annual,Spring,Green,0.2,SF Native,Wetland,"Sun,Part shade","Clay,Loam,Sand",,Moderate,"Cover,Fruit",Birds,No,0.0,Garden,Seedheads.
Juncus xiphioides,Iris-leaved Rush,Juncaceae,Perennial,"Spring,Summer",Burgundy,1.0,SF Native,"Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam",,Moderate,,Butterflies,Yes,1.0,Garden,spreads well by runners.
Koeleria macrantha,June Grass,Poaceae,Grass,Spring,Green,1.0,SF Native,"Chaparral,Coastal scrub,Grassland/prairie,Woodland","Sun,Part shade","Clay,Loam",,,Fruit,Birds,Yes,1.0,Roof;Garden,Great bunchgrass.
Koelreuteria paniculata,Goldenrain Tree,Sapindaceae,Tree (deciduous),Summer,Yellow,8.0,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk,"Uneven performer, prefers heat, wind protection."
Lagunaria patersonii,Primrose Tree,Malvaceae,Tree (evergreen),"Spring,Summer",Pink,8.0,Exotic,,Sun,"Clay,Loam,Sand",,Low,,,Yes,1.0,Sidewalk,Does well in windy areas.
Lasthenia californica,California Goldfields,Asteraceae,Annual,"Spring,Winter",Yellow,0.2,SF Native,"Coastal scrub,Grassland/prairie",Sun,"Clay,Loam,Rock",,Low,"Fruit,Pollinator",Bees;Birds,No,0.0,Garden;Roof,
Lasthenia glaberrima,Smooth Goldfields,Asteraceae,Annual,Spring,Yellow,1.0,CA Native,"Coastal scrub,Wetland,Woodland","Sun,Part shade","Clay,Loam",,Moderate,Pollinator,Bees;Butterflies,No,0.0,Garden,
Lasthenia glabrata,Yellow-rayed Goldfields,Asteraceae,Annual,"Spring,Winter",Yellow,1.0,CA Native,"Wetland,Woodland","Sun,Part shade","Clay,Loam",,Moderate,Pollinator,Bees;Butterflies,No,0.0,Garden,Attracts Checkerspot butterfly (endangered).
Laurus nobilis 'Saratoga',Sweet Bay,Lauraceae,Tree (evergreen),Spring,Yellow,6.0,Exotic,,"Sun,Part shade",,,Low,,,No,0.0,Sidewalk,"Uneven performer, prefers heat, wind protection, gets pests."
Lavandula spp.,Lavender,Lamiaceae,Shrub (evergreen),"Spring,Summer,Fall,Winter",Purple,1.0,Exotic,,Sun,"Clay,Loam",,,"Cover,Pollinator",Bees;Birds;Butterflies;Hummingbirds,Yes,1.0,Sidewalk;Garden,"Relatively short-lived, it will become leggy if not pruned after flowering."
Leptospermum laevigatum,Australian Tea Tree,Myrtaceae,Tree (evergreen),Spring,White,6.0,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk,"Poor rooter, may need long-term or permanent staking."
Leptosyne calliopsidea,Leafy-stemmed Coreopsis,Asteraceae,Annual,"Spring,Winter",Yellow,1.0,CA Native,Woodland,"Sun,Part shade","Clay,Loam",,Low,Pollinator,Bees,No,0.0,Garden,
Limonium californicum,Sea Lavender,Plumbaginaceae,Perennial,Summer,Purple,1.0,SF Native,Wetland,"Sun,Part shade","Clay,Loam,Sand",,Moderate,"Buds/greens,Pollinator",Bees;Butterflies;Insects,Yes,1.0,Sidewalk;Garden,
Liquidambar styraciflua,American Sweetgum,Hamamelidaceae,Tree (deciduous),Spring,Yellow,8.0,Exotic,,"Sun,Part shade","Clay,Loam,Sand",,Moderate,,,Yes,1.0,Sidewalk,Needs a very large basin for canopy and roots
Liriodendron tulipifera,Tulip Tree,Magnoliaceae,Tree (deciduous),Spring,Yellow,8.0,Exotic,,Sun,,,Low,,,Yes,1.0,Sidewalk,Uneven performer.
Lomatium californicum,California Celery,Apiaceae,Perennial,Spring,Yellow,1.0,CA Native,"Chaparral,Woodland","Part shade,Shade","Clay,Loam",,Low,Buds/greens,Butterflies,No,0.0,Garden,Dry grower. Attracts Anise Swallowtail (Papilio Zelicaon) butterfly.
Lonicera involucrata,Twinberry Honeysuckle,Caprifoliaceae,Shrub (deciduous),Summer,Yellow,3.0,SF Native,"Coastal scrub,Riparian,Wetland,Woodland","Sun,Part shade","Clay,Loam",,Low,"Cover,Fruit,Pollinator",Bees;Birds;Butterflies;Hummingbirds,No,0.0,Garden,"Not wind tolerant, but grows in many habitats. Attracts Cedar Waxwing and  Red Admiral."
Lophostemon confertus,Brisbane Box,Myrtaceae,Tree (evergreen),"Spring,Summer",White,8.0,Exotic,,Sun,,,Low,,,No,0.0,Sidewalk,
Lupinus albifrons,Silver Lupine,Fabaceae,Perennial,"Spring,Summer",Purple,2.0,CA Native,"Chaparral,Coastal scrub,Woodland",Sun,"Clay,Loam,Sand,Rock",,,"Buds/greens,Pollinator",Bees;Birds;Butterflies;Hummingbirds,Yes,1.0,Garden;Sidewalk;Roof,Host to the endangered Mission Blue Butterfly.
Passiflora caerulea,Passion Vine,Passifloraceae,Vine,"Spring,Summer","Purple,White",8.0,Exotic,,"Sun,Part shade","Loam,Sand",,,"Cover,Nesting,Pollinator",Butterflies,,,Sidewalk;Garden,
Lupinus arboreus,Yellow Bush Lupine,Fabaceae,Shrub (evergreen),Spring,Yellow,2.0,SF Native,"Coastal scrub,Dunes,Grassland/prairie","Sun,Part shade","Clay,Loam,Sand,Rock",,,Pollinator,Bees;Butterflies;Hummingbirds,No,0.0,Garden,"Only plant in western sandy areas.  Grows fast, then dies out fast.  Lupines should be planted as plants – unpredictable germination."
Lupinus bicolor,Miniature Lupine,Fabaceae,Annual,Spring,"Purple,White",1.0,SF Native,"Coastal scrub,Dunes,Grassland/prairie","Sun,Part shade","Clay,Loam,Sand",,,"Cover,Pollinator",Bees;Butterflies;Hummingbirds,Yes,1.0,Garden;Roof,Plant to the east of sunset.
Lupinus chamissonis,Silver Dune Lupine,Fabaceae,Shrub (evergreen),Spring,Indigo,2.0,SF Native,Dunes,Sun,Sand,,,"Cover,Pollinator",Butterflies;Hummingbirds,No,0.0,Garden,
Lupinus variicolor,Varied Lupine,Fabaceae,Perennial,"Spring,Summer","Purple,White",1.0,SF Native,"Coastal scrub,Grassland/prairie",Sun,"Loam,Sand",,,"Cover,Pollinator",Bees;Butterflies;Hummingbirds,No,0.0,Garden;Sidewalk;Roof,Plant to the east of sunset.
Lyonothamnus floribundus ssp. Asplenifolius,Catalina Ironwood,Rosaceae,Tree (evergreen),"Spring,Summer",White,8.0,CA Native,,Sun,"Clay,Loam",,Low,,,Yes,1.0,Sidewalk,"Prefers heat, wind protection."
Lythrum californicum,Common Loosestrife,Lythraceae,Perennial,"Spring,Summer",Pink,2.0,CA Native,"Wetland,Woodland","Sun,Part shade",Loam,,Low,Pollinator,Butterflies,No,0.0,Garden,
Madia sativa,Common Tarweed,Asteraceae,Annual,Summer,Yellow,2.0,SF Native,"Chaparral,Coastal scrub,Grassland/prairie",Sun,"Clay,Sand",,,"Fruit,Pollinator",Bees;Birds;Butterflies,No,0.0,Garden,Attracts Western Meadowlark bird.
Magnolia  doltsopa,Sweet Michelia,Magnoliaceae,Tree (evergreen),Spring,White,6.0,Exotic,,"Sun,Part shade",,,Low,,,No,0.0,Sidewalk,"Formerly Michelia doltsopa; uneven performer, grows very slowly, prefers heat, wind protection."
Magnolia champaca,Golden Champaca,Magnoliaceae,Tree (evergreen),"Spring,Summer",Yellow,6.0,Exotic,,"Sun,Part shade",,,Low,,,No,0.0,Sidewalk,"Formerly Michelia champaca; needs wind protection, wide sidewalk, gets powdery mildew and very slow grower."
